Source,Target,EdgeType,weight,final_label
Patient 124,Doctor 5606,4,0.505675077,0
Patient 126,Doctor 2832,4,0.020647829,0
Patient 126,Doctor 5139,4,0.10747648,0
Patient 128,Doctor 4204,4,0.232962534,0
Patient 129,Doctor 626,4,0.510418057,0
Patient 130,Doctor 2463,4,0.061683606,0
Patient 130,Doctor 5616,4,0.138012528,0
Patient 130,Doctor 6694,4,0.056672037,0
Patient 130,Doctor 6697,4,0.081256732,0
Patient 131,Doctor 621,4,0.514303446,0
Patient 132,Doctor 7652,4,0.102789044,0
Patient 134,Doctor 6476,4,0.221494928,0
Patient 135,Doctor 297,4,0.36884141,0
Patient 136,Doctor 4259,4,0.527603984,0
Patient 137,Doctor 2952,4,0.060159866,0
Patient 137,Doctor 3047,4,0.025412144,0
Patient 137,Doctor 3828,4,0.004035342,0
Patient 137,Doctor 5164,4,0.064548269,0
Patient 137,Doctor 7994,4,0.037852217,0
Patient 137,Doctor 8463,4,0.061333131,0
Patient 137,Doctor 8615,4,0.058537129,0
Patient 137,Doctor 8682,4,0.014798496,0
Patient 139,Doctor 5502,4,0.099593721,0
Patient 140,Doctor 6863,4,0.513809264,0
Patient 142,Doctor 4187,4,0.115947463,0
Patient 142,Doctor 4601,4,0.124096073,0
Patient 143,Doctor 1193,4,0.021139583,0
Patient 143,Doctor 2229,4,0.010027386,0
Patient 143,Doctor 3323,4,0.010428771,0
Patient 145,Doctor 5962,4,0.154232949,0
Patient 146,Doctor 7803,4,0.558974266,0
Patient 148,Doctor 3118,4,0.02385415,0
Patient 150,Doctor 6025,4,0.398034275,0
Patient 151,Doctor 7625,4,0.076321863,0
Patient 153,Doctor 7553,4,0.21594505,0
Patient 153,Doctor 8596,4,0.253580153,0
Patient 154,Doctor 2738,4,0.05680817,0
Patient 155,Doctor 6002,4,0.201040894,0
Patient 157,Doctor 7553,4,0.675897241,0
Patient 159,Doctor 6198,4,0.229437843,0
Patient 161,Doctor 5638,4,0.291473627,0
Patient 162,Doctor 5039,4,0.25645563,0
Patient 165,Doctor 5570,4,0.046387497,0
Patient 166,Doctor 6817,4,0.439436585,0
Patient 167,Doctor 7888,4,0.260969847,0
Patient 168,Doctor 5552,4,0.042345326,0
Patient 171,Doctor 1993,4,0.205403864,0
Patient 172,Doctor 129,4,0.219841033,0
Patient 172,Doctor 4188,4,0.116599239,0
Patient 174,Doctor 7605,4,0.586531281,0
Patient 176,Doctor 496,4,0.029621024,0
Patient 176,Doctor 1832,4,0.19121097,0
Patient 176,Doctor 8131,4,0.04435974,0
Patient 177,Doctor 6604,4,0.475313753,0
Patient 178,Doctor 2760,4,0.280348897,0
Patient 179,Doctor 3694,4,0.491306365,0
Patient 180,Doctor 5746,4,0.046125472,0
Patient 182,Doctor 4076,4,0.246920064,0
Patient 182,Doctor 7616,4,0.055926323,0
Patient 183,Doctor 394,4,0.026408797,0
Patient 183,Doctor 1359,4,0.090080306,0
Patient 184,Doctor 4076,4,0.377395898,0
Patient 186,Doctor 28,4,0.281807452,0
Patient 187,Doctor 723,4,0.170341238,0
Patient 188,Doctor 128,4,0.03165685,0
Patient 188,Doctor 626,4,0.135218143,0
Patient 188,Doctor 1167,4,0.05160144,0
Patient 188,Doctor 5017,4,0.018100217,0
Patient 188,Doctor 8200,4,0.010637454,0
Patient 189,Doctor 4752,4,0.266001731,0
Patient 192,Doctor 1863,4,0.211977944,0
Patient 192,Doctor 6442,4,0.163946539,0
Patient 192,Doctor 6863,4,0.268373132,0
Patient 193,Doctor 6335,4,0.058164995,0
Patient 194,Doctor 6025,4,0.417204976,0
Patient 197,Doctor 5918,4,0.161132678,0
Patient 198,Doctor 1762,4,0.333621114,0
Patient 201,Doctor 6184,4,0.494612962,0
Patient 202,Doctor 2568,4,0.13056995,0
Patient 204,Doctor 141,4,0.431160629,0
Patient 205,Doctor 6371,4,0.398965567,0
Patient 207,Doctor 4427,4,0.24218826,0
Patient 208,Doctor 2253,4,0.022805916,0
Patient 208,Doctor 6599,4,0.232325092,0
Patient 210,Doctor 4083,4,0.044918623,0
Patient 212,Doctor 7703,4,0.112665817,0
Patient 214,Doctor 7496,4,0.320527852,0
Patient 215,Doctor 4772,4,0.035966996,0
Patient 215,Doctor 4791,4,0.365202516,0
Patient 216,Doctor 620,4,0.228216872,0
Patient 216,Doctor 622,4,0.294513136,0
Patient 216,Doctor 625,4,0.261135161,0
Patient 217,Doctor 5700,4,0.427601188,0
Patient 220,Doctor 621,4,0.475938588,0
Patient 221,Doctor 5898,4,0.051005483,0
Patient 222,Doctor 7821,4,0.507445991,0
Patient 223,Doctor 3648,4,0.036201037,0
Patient 223,Doctor 5576,4,0.269472778,0
Patient 224,Doctor 124,4,0.063210517,0
Patient 224,Doctor 3697,4,0.039907858,0
Patient 224,Doctor 4553,4,0.241520509,0
Patient 225,Doctor 282,4,0.100778826,0
Patient 227,Doctor 4227,4,0.361424744,0
Patient 228,Doctor 6706,4,0.130436823,0
Patient 231,Doctor 2717,4,0.068615042,0
Patient 234,Doctor 1353,4,0.348238915,0
Patient 235,Doctor 4042,4,0.095541671,0
Patient 236,Doctor 3708,4,0.28090325,0
Patient 237,Doctor 1115,4,0.359619766,0
Patient 238,Doctor 3866,4,0.064080283,0
Patient 240,Doctor 6846,4,0.329869151,0
Patient 241,Doctor 1519,4,0.091676563,0
Patient 243,Doctor 8596,4,0.554166377,0
Patient 244,Doctor 5264,4,0.086970195,0
Patient 246,Doctor 3850,4,0.016008127,0
Patient 246,Doctor 4158,4,0.135357946,0
Patient 247,Doctor 2818,4,0.28459388,0
Patient 247,Doctor 6227,4,0.042069957,0
Patient 248,Doctor 2800,4,0.180678591,0
Patient 248,Doctor 4025,4,0.021951005,0
Patient 248,Doctor 5123,4,0.054683145,0
Patient 248,Doctor 8325,4,0.173109114,0
Patient 249,Doctor 6603,4,0.496801883,0
Patient 250,Doctor 7901,4,0.153227404,0
Patient 251,Doctor 5948,4,0.119330041,0
Patient 252,Doctor 2361,4,0.197087556,0
Patient 253,Doctor 1311,4,0.125102088,0
Patient 254,Doctor 2596,4,0.039208569,0
Patient 255,Doctor 5071,4,0.29570666,0
Patient 256,Doctor 12,4,0.305368155,0
Patient 257,Doctor 2493,4,0.260767251,0
Patient 258,Doctor 3334,4,0.293856531,0
Patient 259,Doctor 1190,4,0.212188303,0
Patient 259,Doctor 2285,4,0.077438958,0
Patient 259,Doctor 3271,4,0.053696949,0
Patient 259,Doctor 6510,4,0.044432096,0
Patient 259,Doctor 8194,4,0.03482268,0
Patient 260,Doctor 4135,4,0.265096575,0
Patient 261,Doctor 8428,4,0.101554044,0
Patient 263,Doctor 5071,4,0.127650723,0
Patient 263,Doctor 7249,4,0.174097434,0
Patient 265,Doctor 3849,4,0.375660986,0
Patient 266,Doctor 5401,4,0.155890986,0
Patient 267,Doctor 6628,4,0.175709769,0
Patient 268,Doctor 3220,4,0.130976349,0
Patient 270,Doctor 681,4,0.352432102,0
Patient 271,Doctor 5444,4,0.494118541,0
Patient 272,Doctor 3995,4,0.036198542,0
Patient 272,Doctor 8045,4,0.00762442,0
Patient 273,Doctor 1541,4,0.138847053,0
Patient 273,Doctor 4354,4,0.024059551,0
Patient 273,Doctor 5446,4,0.058921851,0
Patient 273,Doctor 5621,4,0.145496383,0
Patient 273,Doctor 8325,4,0.11454238,0
Patient 274,Doctor 2479,4,0.052029837,0
Patient 275,Doctor 8783,4,0.038449284,0
Patient 276,Doctor 2132,4,0.047081389,0
Patient 277,Doctor 5164,4,0.564619422,0
Patient 280,Doctor 3994,4,0.47310698,0
Patient 281,Doctor 6399,4,0.266477376,0
Patient 282,Doctor 6180,4,0.180590749,0
Patient 284,Doctor 3368,4,0.068772435,0
Patient 286,Doctor 3282,4,0.068914302,0
Patient 288,Doctor 3189,4,0.184171826,0
Patient 289,Doctor 1168,4,0.091902673,0
Patient 289,Doctor 2179,4,0.206358656,0
Patient 289,Doctor 7653,4,0.018560443,0
Patient 289,Doctor 7794,4,0.036513627,0
Patient 290,Doctor 1966,4,0.302931428,0
Patient 290,Doctor 8615,4,0.347533405,0
Patient 291,Doctor 5149,4,0.055494379,0
Patient 292,Doctor 442,4,0.133029446,0
Patient 294,Doctor 3896,4,0.031348791,0
Patient 295,Doctor 7994,4,0.437797904,0
Patient 296,Doctor 2999,4,0.408358127,0
Patient 297,Doctor 8596,4,0.534732401,0
Patient 298,Doctor 4542,4,0.074834414,0
Patient 299,Doctor 5164,4,0.571070731,0
Patient 300,Doctor 339,4,0.165084317,0
Patient 302,Doctor 1210,4,0.021457827,0
Patient 302,Doctor 4148,4,0.134890348,0
Patient 302,Doctor 5565,4,0.1180503,0
Patient 303,Doctor 1232,4,0.106335655,0
Patient 304,Doctor 8946,4,0.297466278,0
Patient 306,Doctor 1099,4,0.394993871,0
Patient 307,Doctor 6791,4,0.047745053,0
Patient 307,Doctor 8512,4,0.024864312,0
Patient 309,Doctor 627,4,0.137905717,0
Patient 309,Doctor 1548,4,0.010968128,0
Patient 309,Doctor 2760,4,0.044295069,0
Patient 309,Doctor 3339,4,0.034353074,0
Patient 309,Doctor 6052,4,0.019611105,0
Patient 309,Doctor 7579,4,0.035625573,0
Patient 310,Doctor 3458,4,0.34240979,0
Patient 310,Doctor 4812,4,0.027747495,0
Patient 313,Doctor 4164,4,0.081929281,0
Patient 314,Doctor 6863,4,0.506574035,0
Patient 316,Doctor 8596,4,0.519170463,0
Patient 319,Doctor 498,4,0.354320854,0
Patient 320,Doctor 4012,4,0.566387832,0
Patient 322,Doctor 3936,4,0.415645421,0
Patient 323,Doctor 1421,4,0.141422346,0
Patient 326,Doctor 1041,4,0.017217249,0
Patient 326,Doctor 7746,4,0.108785786,0
Patient 326,Doctor 8418,4,0.015845951,0
Patient 326,Doctor 8419,4,0.057423554,0
Patient 328,Doctor 5809,4,0.19374916,0
Patient 329,Doctor 5368,4,0.541949689,0
Patient 330,Doctor 8326,4,0.241375715,0
Patient 331,Doctor 6603,4,0.500321627,0
Patient 333,Doctor 1412,4,0.231489182,0
Patient 335,Doctor 8434,4,0.100978918,0
Patient 338,Doctor 6388,4,0.50063926,0
Patient 339,Doctor 7051,4,0.434860796,0
Patient 340,Doctor 3493,4,0.071420632,0
Patient 341,Doctor 5700,4,0.382553995,0
Patient 342,Doctor 9038,4,0.03002058,0
Patient 348,Doctor 6693,4,0.062685981,0
Patient 349,Doctor 3458,4,0.372555315,0
Patient 351,Doctor 5425,4,0.04331363,0
Patient 352,Doctor 8890,4,0.133245006,0
Patient 355,Doctor 5184,4,0.283584297,0
Patient 356,Doctor 1133,4,0.096513525,0
Patient 357,Doctor 6674,4,0.101722129,0
Patient 360,Doctor 1219,4,0.488640338,0
Patient 361,Doctor 5075,4,0.017445024,0
Patient 363,Doctor 627,4,0.477376878,0
Patient 364,Doctor 6604,4,0.43172881,0
Patient 366,Doctor 3458,4,0.368695289,0
Patient 368,Doctor 4367,4,0.16687052,0
Patient 368,Doctor 5324,4,0.194081604,0
Patient 369,Doctor 5560,4,0.349135458,0
Patient 370,Doctor 3991,4,0.10610684,0
Patient 372,Doctor 6031,4,0.241964057,0
Patient 373,Doctor 1907,4,0.285733044,0
Patient 375,Doctor 1677,4,0.022310561,0
Patient 375,Doctor 2272,4,0.012047293,0
Patient 375,Doctor 7605,4,0.301774234,0
Patient 376,Doctor 7051,4,0.434066325,0
Patient 379,Doctor 4835,4,0.024147572,0
Patient 380,Doctor 1551,4,0.058956653,0
Patient 381,Doctor 5606,4,0.51642257,0
Patient 382,Doctor 627,4,0.333442152,0
Patient 382,Doctor 3224,4,0.124327511,0
Patient 384,Doctor 1190,4,0.195986211,0
Patient 384,Doctor 7375,4,0.01973952,0
Patient 384,Doctor 8897,4,0.040288612,0
Patient 385,Doctor 1907,4,0.127429232,0
Patient 388,Doctor 2818,4,0.47604388,0
Patient 389,Doctor 442,4,0.141760096,0
Patient 391,Doctor 4149,4,0.236494616,0
Patient 392,Doctor 2187,4,0.231621161,0
Patient 393,Doctor 5621,4,0.521090031,0
Patient 394,Doctor 4301,4,0.384262741,0
Patient 396,Doctor 1541,4,0.341691285,0
Patient 396,Doctor 5003,4,0.00883483,0
Patient 396,Doctor 8897,4,0.060787678,0
Patient 397,Doctor 6965,4,0.495787531,0
Patient 398,Doctor 483,4,0.043633733,0
Patient 398,Doctor 621,4,0.142483264,0
Patient 398,Doctor 2276,4,0.130501539,0
Patient 398,Doctor 4134,4,0.029844226,0
Patient 398,Doctor 4135,4,0.056139145,0
Patient 398,Doctor 5123,4,0.035414495,0
Patient 400,Doctor 5942,4,0.21985139,0
Patient 402,Doctor 4670,4,0.491730243,0
Patient 403,Doctor 3289,4,0.164073274,0
Patient 403,Doctor 5284,4,0.183179587,0
Patient 404,Doctor 4625,4,0.053870682,0
Patient 405,Doctor 5668,4,0.29641366,0
Patient 406,Doctor 833,4,0.088225298,0
Patient 407,Doctor 3270,4,0.357354403,0
Patient 407,Doctor 5562,4,0.084745571,0
Patient 407,Doctor 6887,4,0.01925604,0
Patient 410,Doctor 498,4,0.399515331,0
Patient 411,Doctor 4254,4,0.180811122,0
Patient 413,Doctor 6413,4,0.024068199,0
Patient 414,Doctor 2506,4,0.367123127,0
Patient 415,Doctor 1188,4,0.062001728,0
Patient 416,Doctor 483,4,0.234368697,0
Patient 417,Doctor 5856,4,0.023951562,0
Patient 418,Doctor 5083,4,0.165217891,0
Patient 418,Doctor 6586,4,0.082187518,0
Patient 419,Doctor 2179,4,0.188520804,0
Patient 419,Doctor 6604,4,0.211691469,0
Patient 421,Doctor 7530,4,0.242230877,0
Patient 422,Doctor 4036,4,0.035051137,0
Patient 422,Doctor 5157,4,0.035368647,0
Patient 423,Doctor 3798,4,0.061640393,0
Patient 424,Doctor 2464,4,0.243102133,0
Patient 425,Doctor 2832,4,0.022466807,0
Patient 425,Doctor 5621,4,0.437550724,0
Patient 426,Doctor 7863,4,0.295411378,0
Patient 428,Doctor 1168,4,0.081778929,0
Patient 428,Doctor 1684,4,0.028905952,0
Patient 429,Doctor 358,4,0.022231935,0
Patient 430,Doctor 485,4,0.462579548,0
Patient 431,Doctor 1215,4,0.194080845,0
Patient 431,Doctor 3121,4,0.013797184,0
Patient 431,Doctor 4553,4,0.165185422,0
Patient 432,Doctor 2276,4,0.526704967,0
Patient 433,Doctor 5623,4,0.313237131,0
Patient 435,Doctor 50,4,0.289586127,0
Patient 436,Doctor 7822,4,0.519781947,0
Patient 437,Doctor 24,4,0.544628263,0
Patient 438,Doctor 621,4,0.255375355,0
Patient 438,Doctor 2800,4,0.199605554,0
Patient 438,Doctor 5591,4,0.112604484,0
Patient 440,Doctor 5565,4,0.187128082,0
Patient 442,Doctor 8557,4,0.140034452,0
Patient 443,Doctor 8596,4,0.518397093,0
Patient 444,Doctor 6790,4,0.361098886,0
Patient 445,Doctor 5573,4,0.444069803,0
Patient 446,Doctor 4014,4,0.059509974,0
Patient 448,Doctor 8325,4,0.430287093,0
Patient 450,Doctor 6206,4,0.167309761,0
Patient 452,Doctor 2226,4,0.10670089,0
Patient 454,Doctor 1986,4,0.434275508,0
Patient 456,Doctor 8668,4,0.435638905,0
Patient 458,Doctor 5164,4,0.387203038,0
Patient 459,Doctor 4311,4,0.129958555,0
Patient 461,Doctor 4998,4,0.109158278,0
Patient 462,Doctor 8792,4,0.037021015,0
Patient 465,Doctor 6060,4,0.062562898,0
Patient 469,Doctor 12,4,0.325226814,0
Patient 471,Doctor 4354,4,0.08985544,0
Patient 471,Doctor 6548,4,0.081450924,0
Patient 473,Doctor 4456,4,0.0193012,0
Patient 475,Doctor 3491,4,0.339364827,0
Patient 477,Doctor 2333,4,0.012555304,0
Patient 477,Doctor 8178,4,0.146195784,0
Patient 478,Doctor 2696,4,0.039391533,0
Patient 480,Doctor 6145,4,0.093986027,0
Patient 481,Doctor 5368,4,0.53541255,0
Patient 483,Doctor 129,4,0.194837779,0
Patient 483,Doctor 177,4,0.060588613,0
Patient 484,Doctor 5606,4,0.548962295,0
Patient 485,Doctor 1528,4,0.005178381,0
Patient 485,Doctor 4388,4,0.00875584,0
Patient 486,Doctor 640,4,0.058476496,0
Patient 487,Doctor 2270,4,0.151206836,0
Patient 487,Doctor 5565,4,0.138640642,0
Patient 487,Doctor 5621,4,0.242059365,0
Patient 488,Doctor 756,4,0.173941776,0
Patient 490,Doctor 1598,4,0.560246766,0
Patient 493,Doctor 6965,4,0.514216661,0
Patient 495,Doctor 3758,4,0.269663125,0
Patient 496,Doctor 6371,4,0.37046504,0
Patient 498,Doctor 7114,4,0.105336793,0
Patient 500,Doctor 3317,4,0.274314463,0
Patient 501,Doctor 2445,4,0.04042289,0
Patient 502,Doctor 2426,4,0.029360887,0
Patient 503,Doctor 2424,4,0.069446087,0
Patient 504,Doctor 3175,4,0.030410454,0
Patient 504,Doctor 7059,4,0.092927918,0
Patient 505,Doctor 1598,4,0.509549975,0
Patient 506,Doctor 2102,4,0.101517163,0
Patient 508,Doctor 5071,4,0.186601371,0
Patient 509,Doctor 3234,4,0.03878409,0
Patient 509,Doctor 5700,4,0.139044568,0
Patient 509,Doctor 7423,4,0.145009682,0
Patient 511,Doctor 7260,4,0.026004186,0
Patient 513,Doctor 4721,4,0.03320577,0
Patient 516,Doctor 5574,4,0.44072786,0
Patient 525,Doctor 1447,4,0.121495746,0
Patient 525,Doctor 2631,4,0.008264273,0
Patient 528,Doctor 5724,4,0.127038196,0
Patient 531,Doctor 4227,4,0.499903888,0
Patient 533,Doctor 9057,4,0.198617697,0
Patient 534,Doctor 4715,4,0.35018912,0
Patient 535,Doctor 1467,4,0.33158651,0
Patient 535,Doctor 5611,4,0.038257513,0
Patient 538,Doctor 5817,4,0.044959176,0
Patient 539,Doctor 5559,4,0.285560369,0
Patient 541,Doctor 3270,4,0.43293637,0
Patient 543,Doctor 1987,4,0.200186685,0
Patient 544,Doctor 6324,4,0.20595704,0
Patient 545,Doctor 8463,4,0.2593472,0
Patient 546,Doctor 220,4,0.054676075,0
Patient 547,Doctor 2375,4,0.359545499,0
Patient 548,Doctor 5141,4,0.090175509,0
Patient 551,Doctor 4700,4,0.049535278,0
Patient 551,Doctor 5593,4,0.064009555,0
Patient 552,Doctor 625,4,0.229785219,0
Patient 552,Doctor 630,4,0.188287511,0
Patient 552,Doctor 2194,4,0.076424606,0
Patient 553,Doctor 1966,4,0.162905306,0
Patient 553,Doctor 6025,4,0.135832325,0
Patient 554,Doctor 2382,4,0.026859205,0
Patient 557,Doctor 938,4,0.016019775,0
Patient 557,Doctor 5852,4,0.021918742,0
Patient 558,Doctor 8463,4,0.575109482,0
Patient 559,Doctor 6604,4,0.513617992,0
Patient 560,Doctor 8280,4,0.042700484,0
Patient 561,Doctor 857,4,0.47506547,0
Patient 562,Doctor 215,4,0.007394396,0
Patient 562,Doctor 2189,4,0.006644045,0
Patient 562,Doctor 4129,4,0.025815817,0
Patient 562,Doctor 4134,4,0.03428901,0
Patient 562,Doctor 5807,4,0.008203484,0
Patient 566,Doctor 5025,4,0.084992319,0
Patient 573,Doctor 5310,4,0.128079385,0
Patient 574,Doctor 7658,4,0.154925749,0
Patient 575,Doctor 8553,4,0.060798828,0
Patient 576,Doctor 621,4,0.304148585,0
Patient 576,Doctor 4791,4,0.297708839,0
Patient 579,Doctor 7821,4,0.512257218,0
Patient 581,Doctor 5573,4,0.380633205,0
Patient 582,Doctor 4494,4,0.465716213,0
Patient 583,Doctor 5372,4,0.052094467,0
Patient 584,Doctor 4143,4,0.221313059,0
Patient 585,Doctor 1359,4,0.178657711,0
Patient 586,Doctor 3829,4,0.476047099,0
Patient 587,Doctor 141,4,0.413735569,0
Patient 590,Doctor 7821,4,0.525276124,0
Patient 592,Doctor 5621,4,0.498807847,0
Patient 596,Doctor 8325,4,0.449854523,0
Patient 597,Doctor 5368,4,0.497259766,0
Patient 598,Doctor 5606,4,0.51680702,0
Patient 599,Doctor 6025,4,0.421447873,0
Patient 600,Doctor 4589,4,0.081039473,0
Patient 601,Doctor 3995,4,0.040616676,0
Patient 601,Doctor 7515,4,0.071389936,0
Patient 602,Doctor 5041,4,0.317296356,0
Patient 603,Doctor 297,4,0.381011695,0
Patient 604,Doctor 5621,4,0.270486057,0
Patient 605,Doctor 1769,4,0.189491823,0
Patient 605,Doctor 6302,4,0.268271685,0
Patient 607,Doctor 6465,4,0.119942859,0
Patient 609,Doctor 4695,4,0.120223925,0
Patient 611,Doctor 1669,4,0.059068527,0
Patient 611,Doctor 3543,4,0.010075886,0
Patient 611,Doctor 8421,4,0.089597344,0
Patient 614,Doctor 4298,4,0.134928361,0
Patient 615,Doctor 2016,4,0.182326734,0
Patient 621,Doctor 1901,4,0.158022717,0
Patient 623,Doctor 4791,4,0.488948524,0
